,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,EndgameChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
162,Jeff and Sydney,qm33,red,,449,true,1H|2H,0.0,1.0,,None, | ,3H|4H|7H|9H,0.0, | Got a cone knocked out of its grip easily when hit by another robot - good cone intake from double substation ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,3.0,Fast but crashing into other robots of both teams a lot  | 
163,Sayan and Arav,qm33,red,2,1418,true,7H,0.0,1.0,Engage,None, | ,5H|6M|7M,0.0,Fell on its side at end of teleop | Tipped,,None,,Was disabled at the time | ,1.0,0.5,0.0,0.0,0.0, | 
164,Chris  and darren,qm33,red,3,2421,true,8H,0.0,1.0,,, | ,1Lcube|2Lcube|2M|5M,0.0, | ,Engage,Engage,, | slipped off of charge station after they were engaged,0.0,0.0,0.0,0.0,1.0,They were kinda slow | 
165,Nicole and Sri,qm34,blue,3,1086,true,5M,0.0,0.0,,, | ,2M|4M,0.0, | ,Engage,Engage,, | ,0.0,0.5,10.0,0.5,2.0, | 
166,Eckart and Neel,qm34,blue,,2068,false,6Lcube,0.0,1.0,,None, | ,7Lcube|8M|9H,0.5, | ,,Engage,, | ,0.0,0.0,20.0,1.5,3.0, | 
167,Olivia  and Hannah,qm34,blue,2,6326,true,9H,0.0,1.0,,, | ,2H|3H|5H|8H,0.0, | ,Engage,Engage,7.4, | ,0.0,0.5,0.0,0.0,1.0, | 
168,darren and Chris,qm34,red,3,1629,true,5H,0.0,1.0,Engage,Engage, | ,1M|2M|2H|3M|6H|9Lcone,0.0, | ,Engage,None,, | ,0.0,0.0,0.0,0.0,1.5, | 
169,Sayan and Arav,qm34,red,2,4099,true,8M|9H,0.0,1.0,,, | ,4Lcube|5Lcube|7H|8H,0.5, | ,Engage,None,, | ,0.0,0.0,0.0,0.0,4.5, | 
170,Jeff and Sydney,qm34,red,,5804,true,1H,0.0,0.0,,None, | ,4H|6Lcube|6H|7M|9M,0.0, | ,,None,, | ,0.0,0.0,0.0,0.0,1.0, | Played more defense on their own team than anyone else - sort of reckless when driving 
171,Nicole and Sri,qm35,blue,3,620,true,3H,0.0,0.0,Engage,, | ,1Lcone|1H|7H|9H,1.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5, | took a while to accurately score cones
172,Neel and Eckart,qm35,blue,,2199,true,3H,0.0,1.0,,None, | ,1Lcone|4H|7H,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | 
173,Hannah and Olivia,qm35,blue,2,3939,true,8H,0.0,1.0,,, | ,2H|4Lcube|5H|7Lcube|8Lcube|9Lcube,0.5, | ,,None,, | ,0.0,1.0,0.0,0.0,2.0, | 
174,darren and Chris,qm35,red,3,3136,false,1H,0.0,1.0,,, | ,2Lcone|2H|5Lcube|5H|8Lcube|8H|9Lcube,0.0,most of the cubes were already in community | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.0, | 
175,Sydney  and Jeff,qm35,red,,5724,true,9H,0.0,1.0,,None, | ,3H|4H|6H|7H|8M,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,4.0, | Decent driving 
176,Arav and Sayan,qm35,red,2,8230,true,,1.5,0.0,Engage,Engage, | ,,0.0,They shot cubes into their community | Lots of missed but I don't think they're trying to score| just getting cubes in their community,,Engage,, | ,0.0,0.0,0.0,0.0,4.5, | 
177,Neel and Eckart,qm36,blue,,614,true,5H,0.0,1.0,Engage,Engage, | ,6Lcube|7Lcube|7M|8Lcube|8M,0.5, | ,,Park,, | ,0.0,0.5,0.0,0.0,4.0, | 
178,Nicole and Sri,qm36,blue,3,686,true,8H,0.0,1.0,,, | ,1H|3H|4Lcube|4H|7H|9H,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,3.5, | 
179,Olivia  and Hannah,qm36,blue,2,2537,true,8H,0.0,1.0,,, | ,1Lcube|4H|6Lcube,0.0,kept dropping pieces bad intake  | weak flappy gripper intake ,Engage,Engage,, | ,0.0,0.5,0.0,0.0,1.0, | 
180,Jeff and Sydney,qm36,red,,346,true,2H,0.0,1.0,,None, | ,2Lcube|2M|3Lcube|8Lcube|9Lcube,0.0,focused on bringing cubes into community for alliance robots to score | ,,None,, | ,0.0,0.0,0.0,0.0,0.0, | 
181,Sayan and Arav,qm36,red,2,977,true,6Lcube,0.0,0.0,,, | ,7Lcube|7M,0.0, | ,,None,, | ,1.0,0.0,0.0,0.0,2.0,Tipped over | 
182,darren and Chris,qm36,red,3,8622,true,8Lcube,0.0,0.0,,, | ,,0.0, | Very slow very bad,Engage,Dock,, | ,0.0,0.0,70.0,1.0,1.5, | Very slow very bad defence
183,Neel,qm37,blue,,1731,true,8H|9H,0.0,1.0,,None,,2Lcube|3H|4H|6H|7Lcube|7H,0.0,,Engage,Engage,4,,0.0,0.0,20.0,1.0,4.0,
184,Hannah and Olivia,qm37,blue,2,1895,false,1H,0.0,1.0,,, | ,5Lcone|6Lcube,0.0, | Got disabled ,,,, | ,1.0,0.0,0.0,0.0,0.5, | 
185,Sri and Nicole,qm37,blue,3,3373,true,5H,0.0,0.0,Engage,Engage, | ,1Lcube|2H|3Lcube|4Lcube,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,1.5, | 
186,darren and Chris,qm37,red,3,401,true,8H|9H,0.0,1.0,,, | ,1M|2Lcone|2M|2H|3Lcube|3M|3H|4Lcone|4H|5M|7H,1.0, | ,,None,, | ,0.0,0.0,0.0,0.0,5.0, | 
187,Sayan and Arav,qm37,red,2,1389,true,3H,0.0,1.0,,None, | ,6M|7M,0.5, | ,Engage,Engage,, | ,0.0,0.0,40.0,1.0,3.0, | Pranav scouted for me
188,Sydney ,qm37,red,,6802,true,5H,0.0,1.0,Engage,Engage,,6H|7Lcone,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,0.0,
189,Chris,qm38,blue,3,623,true,4M,0.0,0.0,Engage,Engage,,1M|2M|3M|5M|6M,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,0.0,
190,Hannah and Olivia,qm38,blue,2,1262,false,,0.0,1.0,,, | ,1Lcube|5Lcube|7Lcube,0.0, | ,,,, | ,1.0,0.0,0.0,0.0,2.0, | 
191,Nicole and Sri,qm38,blue,3,1908,true,,0.0,0.0,Engage,Engage,I missed auto | ,1Lcone|1H|3H|4Lcube|4H,1.0, | ,Engage,Dock,, | ,0.0,0.5,0.0,0.0,2.0, | 
192,Shashwat and Neel,qm38,blue,,2363,true,1Lcube|8Lcone|9Lcone,0.0,0.0,,None, | ,2H|5H|6H|7H|8H|9H,0.5, | ,Engage,None,, | ,0.0,0.0,0.0,0.0,3.5, | 
193,darren and Chris,qm38,red,3,1111,true,,0.5,1.0,,, | ,2H|4Lcube|7H|8H,0.5, | ,Engage,Engage,, | ,0.0,0.0,10.0,0.5,1.5, | 
194,Sayan and Arav,qm38,red,2,1610,true,,1.0,0.0,,None, | ,2Lcube,0.0, | ,Engage,Engage,, | ,0.0,0.0,50.0,0.5,1.0, | 
