,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
94,Nikhil,qm113,blue,1,1466,true,5H,0.0,1.0,Engage,Engage,,5M|6M|7M|9M|9M,0.0,,Engage,Engage,,,0.0,0.0,60.0,0.0,3.0,
95,Shashwat,qm113,blue,2,3161,false,9M,0.0,0.0,None,,,5M|8M,0.0,,Engage,Engage,,,0.0,0.0,100.0,2.0,0.0,
96,Rachel,qm113,blue,3,5665,true,2H,0.0,1.0,None,None,,1H|3H|4H|6H|7H,0.0,,Engage,Engage,3,,0.0,0.0,0.0,0.0,3.0,
97,Blen S,qm113,red,2,900,true,4H,0.0,1.0,Engage,Engage,,9M|8Lcube|7Lcube|6Lcone|6H|5Lcube|5H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
98,alexander,qm113,red,3,1123,true,9Lcone|8M|8H,0.0,1.0,None,None,,9H|7Lcone|7M|7H|5Lcube|4Lcube,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,4.0,
99,sarah,qm113,red,1,4112,true,1H,0.0,1.0,None,None,,3Lcube|3H|2Lcube|2H|1Lcube,0.0,,Engage,Engage,8,,0.0,0.0,0.0,0.0,4.0,
100,Shashwat,qm114,blue,2,11,false,7H|8H,0.0,0.0,None,None,,2Lcube|3Lcone|3H|5Lcube|6Lcone|9Lcube|9H,0.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,
101,Rachel,qm114,blue,3,857,true,1H,0.0,1.0,None,None,,1M|2M|2H|3M|3H|4M|4H,0.0,,Engage,Engage,2,,0.0,0.0,0.0,0.0,4.0,
102,Nikhil,qm114,blue,1,4329,true,5H,0.0,1.0,Engage,Engage,,3M|4M|7M|8M|9Lcone|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
103,Blen S,qm114,red,2,1501,true,2M|1H,0.0,1.0,None,None,,6M|5Lcube|5H|4H|3M,1.0,,Engage,Park,,,0.0,0.0,0.0,0.0,4.0,
104,sarah,qm114,red,1,1757,true,6H,0.0,1.0,Engage,Dock,,7H|4M|4H|3H|2H|1M,0.0,,Engage,Engage,16,,0.0,0.0,0.0,0.0,3.0,
105,alexander,qm114,red,3,9030,true,8H,0.0,1.0,None,None,,8M|5M,0.0,,Engage,Engage,,,0.0,1.0,0.0,0.0,2.0,
106,Nikhil,qm115,blue,1,1156,true,1M,0.0,0.0,None,,,2M|5M|7M|8M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,
107,Aanshi,qm115,blue,2,1816,true,6H,0.0,1.0,None,Engage,,4H|5H|6M|8Lcube,0.0,,None,None,,,1.0,1.0,0.0,0.0,2.0,
108,Rachel,qm115,blue,3,4419,true,9H,0.0,1.0,None,None,,1M|1H|2Lcube|3M|4M,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,5.0,
109,Blen,qm115,red,2,3932,true,2H,0.0,0.0,None,,,8Lcone|5M|4H|3M|3H|2M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
110,sarah,qm115,red,1,4522,true,9H,2.0,1.0,None,None,,6H|4Lcube|4H|3Lcone|2Lcone|1M|1H,1.0,cube shootin,Engage,Engage,3,,0.0,0.0,0.0,0.0,4.0,
111,alexander,qm115,red,3,9140,true,5H,0.0,1.0,Engage,Engage,,9M|8M|8H|7M|6M|4M,0.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,4.0,
112,paul,qm116,blue,3,1468,true,4H,0.0,1.0,Engage,Engage,,1Lcube|1M|2Lcube|2M|3Lcube|3M|3H,0.0,,Engage,Engage,3,,0.0,0.0,0.0,0.0,4.0,
113,Suzy,qm116,blue,2,2642,true,7H,1.0,1.0,None,None,,4M|5M|5H|6Lcube|6M|6H|8Lcube,0.0,,Engage,,15,,0.0,0.0,0.0,0.0,4.0,360 intake is very cool
114,Aanshi,qm116,blue,1,3218,true,1H|2H|4Lcube|5Lcube|6M|6H|9M|9M,0.0,1.0,None,None,,1H|2H|4Lcube|5Lcube|6M|6H|7Lcone|8M|9Lcube|9M|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
115,darren,qm116,red,3,1538,true,9H|8Lcone|8H,0.0,1.0,None,,,9Lcone|9M|8Lcone|8M|8H|7Lcone|7M|7H|6Lcone|3Lcone,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
116,Chris,qm116,red,2,4145,true,5H,0.0,1.0,Engage,Engage,,6M|6H|5Lcone|5M|4Lcone|4M|4H,0.0,,Engage,Engage,10,,0.0,0.0,0.0,0.0,0.0,
117,sarah,qm116,red,1,9084,true,1H,0.0,1.0,None,None,,3M|3H|2M|2H|1Lcube|1M,1.0,,Engage,Engage,6,,0.0,0.0,0.0,0.0,4.0,
118,Aanshi,qm117,blue,1,3478,true,9Lcube|9H,1.0,1.0,None,,,6M|7M|7H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
119,Nicole,qm117,blue,2,5006,true,1H,0.0,1.0,None,,,2M|2H|5M|6H|8H|9Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,
120,paul,qm117,blue,3,5135,true,5H,0.0,1.0,Engage,Engage,,1M|3M|3H|4H|5Lcube,2.0,,None,Park,,,0.0,0.0,0.0,0.0,4.0,
121,darren,qm117,red,3,3039,true,9H|8H,0.0,1.0,None,,,7H,0.0,had technical issues got elevator stuck in state so went to charge station really early,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,probably not the match we want to go by
122,sarah,qm117,red,1,4944,true,4H,0.0,0.0,Engage,Engage,,6H|5H|3Lcube|3H|2Lcube|1Lcube|1H,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,0.0,
123,Chris,qm117,red,2,6909,true,2H,0.0,1.0,None,,,,0.0,,None,Park,,,0.0,1.0,100.0,1.0,0.0,
124,Ryan Zhao,qm118,blue,3,3184,true,5H,1.0,1.0,Engage,Engage,,1Lcone|1H|3H|4H|6H|7H,1.0,,Engage,Dock,8,,0.0,0.0,0.0,0.0,0.0,
125,paul and Nicole,qm118,blue,3,8015,true,8Lcone,0.0,1.0,None,, | ,5Lcone|7Lcube|9Lcube,1.0, | ,None,None,, | ,0.0,0.0,0.0,0.0,1.5, | 
126,Sanjay,qm118,blue,1,8717,true,5H,0.0,1.0,None,None,,2H|8H,0.0,,Engage,None,19,,0.0,1.0,0.0,0.0,1.0,
127,aarav,qm118,red,1,503,false,4H,0.0,0.0,None,,,4H|1Lcube|1M|1M|1H,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,2.0,
128,darren,qm118,red,3,3572,true,8H|7Lcube,0.0,1.0,None,,,9M|9H|8M|7M|7H|5M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,2.0,
129,Agneya,qm118,red,2,8016,true,2M,0.0,1.0,None,None,,5H,0.0,,None,None,,,1.0,0.0,0.0,0.0,1.0,very slow robot and hard to align with nodes
130,paul and Suzy,qm119,blue,3,177,true,1Lcone,0.0,1.0,None,None, | ,1H|2Lcube|2M|2H|3H|4H,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | 
131,Sanjay,qm119,blue,1,4663,true,8H,0.0,1.0,None,None,,7M|7H|8M|9M|9H,0.0,slow arm,None,None,,,0.0,0.0,0.0,0.0,2.0,
132,Nicole,qm119,blue,2,8592,true,6Lcube|6H,0.0,1.0,Engage,Engage,,1M|2M|3M|4Lcube|4M|5Lcube|5M|6M,0.0,Ran over cone and got stuck then alliance member pushed them off,Engage,Engage,,,0.0,0.0,100.0,0.0,4.0,
133,Agneya,qm119,red,2,4069,true,5H,0.0,1.0,Engage,Dock,,7H|6Lcone|6H|4H|3H|1H,0.0,,Engage,Dock,,,0.0,0.0,0.0,0.0,5.0,
134,Alex S,qm119,red,3,6606,false,,0.0,1.0,None,,,8M|8H,0.0,,None,,,,0.0,1.0,0.0,0.0,1.0,
135,aarav,qm119,red,1,9126,false,7H|2H,0.0,0.0,None,,,,0.0,,None,,,,1.0,0.0,0.0,0.0,1.0,
